"Sale Price"	"Lot Size"	"Waterfront"	"Age"	"Central Air"	"Fuel Type"	"Condition"	"Living Area"	"Pct College"	"Full Baths"	"Half Baths"	"Bedrooms"	"Fireplaces"
755000	1	No	15	No	Oil	3	3956	61	2	1	4	2
340455	0.38	No	0	Yes	Oil	3	2886	57	2	1	4	1
249900	0.42	No	23	Yes	Oil	3	1571	63	2	0	3	2
276000	0.21	No	62	Yes	Electric	3	1579	57	2	0	3	1
590000	0.86	No	20	Yes	Oil	4	3690	57	4	0	5	1
320000	0.25	No	5	No	Oil	3	1884	64	2	1	3	0
255000	0.92	No	5	No	Oil	3	1832	57	3	0	3	1
33000	0.74	No	10	No	Oil	3	375	63	1	0	1	0
145000	0.3	No	33	Yes	Oil	3	1368	57	1	1	3	0
135000	0.12	No	1	No	Oil	3	840	36	1	0	2	0
302459	0.72	No	0	Yes	Oil	3	2579	57	2	1	4	1
293550	0.48	No	6	No	Oil	3	2466	64	2	1	4	1
93805	0.13	No	0	No	Oil	3	840	51	1	1	2	0
475000	1.17	No	16	Yes	Gas	4	2560	62	2	1	3	1
158900	0.31	No	17	Yes	Oil	3	1508	52	1	1	3	1
332110	0.51	No	0	Yes	Oil	3	3515	64	2	1	4	1
199955	0.24	No	0	No	Oil	3	1338	64	2	0	2	1
422680	0.16	No	176	No	Oil	4	4486	51	4	0	6	1
173000	0.21	No	11	No	Oil	3	1064	64	2	0	2	1
87500	0.52	No	30	No	Oil	3	864	44	1	0	2	0
141160	0.17	No	20	No	Gas	3	912	40	1	1	2	0
140000	0.05	No	22	Yes	Oil	3	1479	63	1	1	3	1
132500	0.21	No	77	No	Oil	3	1379	36	1	0	3	0
189675	0.58	No	1	No	Oil	3	2092	52	2	1	3	1
175000	0.23	No	15	No	Oil	3	1052	54	1	1	2	1
160000	1	No	24	No	Oil	3	1537	64	1	1	3	0
107000	0.16	No	20	No	Gas	3	912	54	1	1	2	0
159450	0.17	No	94	No	Oil	3	1848	57	1	0	2	0
617000	0.75	No	1	Yes	Oil	3	3699	61	2	1	4	1
114900	0.15	No	18	No	Gas	3	908	54	1	0	2	0
232000	0.34	No	12	No	Oil	3	1877	63	2	1	3	0
115900	0.15	No	16	No	Gas	3	1385	52	1	1	2	0
186900	0.41	No	0	Yes	Oil	3	1820	64	2	1	3	1
360000	0.16	No	6	Yes	Oil	4	2208	62	2	1	3	1
183900	0.37	No	12	No	Oil	3	1728	44	1	1	3	0
250000	0.43	No	31	No	Oil	3	2226	64	2	1	4	1
339000	0.47	No	9	Yes	Oil	3	2492	63	2	1	4	1
624000	0.36	No	12	Yes	Oil	4	3484	52	3	1	4	1
184900	0.16	No	19	No	Gas	3	1511	51	2	0	3	0
110000	0.15	No	12	No	Gas	2	768	20	1	0	1	0
295000	0.25	No	14	Yes	Oil	3	2389	40	1	1	3	1
253000	0.47	No	33	Yes	Oil	3	2772	63	3	0	5	2
425000	0.55	No	13	No	Electric	3	2382	51	2	1	4	1
151000	0.15	No	19	No	Gas	3	1479	63	1	1	3	0
135000	0.35	No	22	Yes	Gas	2	1336	62	1	1	2	1
92000	0.31	No	17	No	Gas	3	924	64	1	0	2	1
210000	0.81	No	24	Yes	Gas	3	2212	64	2	1	4	1
430000	0.39	No	2	Yes	Oil	4	3090	57	2	1	4	1
299900	0.37	No	9	No	Oil	3	1750	64	2	1	4	0
211000	0.46	No	39	No	Oil	3	1560	64	1	1	3	0
158000	0.05	No	82	No	Oil	2	1272	64	2	0	3	0
239000	3.8	No	27	No	Electric	3	1720	50	2	0	3	1
183000	0.46	No	10	No	Oil	3	1868	64	2	1	4	1
219900	0.42	No	1	Yes	Oil	3	1917	63	2	0	3	1
231647	0.47	No	29	Yes	Oil	3	2676	63	2	1	4	1
135900	0.18	No	0	No	Oil	4	1498	64	1	1	2	1
142700	4.87	No	103	No	Electric	3	1554	52	1	1	3	0
161000	0.27	No	13	Yes	Oil	3	1391	52	2	0	3	1
115900	0.11	No	8	No	Gas	3	1086	57	1	1	3	0
142000	0.06	No	26	Yes	Oil	3	1452	63	2	1	3	1
110000	0.02	No	17	Yes	Oil	3	1281	64	1	1	2	0
99500	0.19	No	20	No	Oil	3	929	64	1	1	2	0
255000	0.94	No	14	Yes	Oil	3	2330	64	2	1	3	1
120000	0.26	No	19	No	Gas	3	924	63	1	1	2	0
56000	0.48	No	125	No	Electric	3	2152	64	2	0	6	0
382406	0.44	No	1	Yes	Oil	3	2712	51	2	1	4	1
129900	0.23	No	30	No	Oil	3	1368	57	1	1	3	0
162500	0.43	No	26	No	Electric	3	1456	63	1	0	3	1
230000	0.17	No	17	No	Oil	2	1930	62	1	1	3	0
152500	0.07	No	17	No	Oil	3	1480	40	2	1	2	1
255000	0.18	No	15	Yes	Oil	3	1512	40	1	1	3	1
359000	0.05	No	17	Yes	Oil	3	1402	62	2	0	2	1
336000	0.15	No	1	Yes	Oil	3	2592	57	3	0	3	0
300000	0.53	No	4	No	Oil	3	2619	63	2	1	4	1
124900	0.98	No	96	No	Electric	3	1522	54	2	0	4	0
154000	0.17	No	21	No	Gas	3	912	40	1	1	2	0
189900	0.46	No	22	Yes	Oil	3	2214	57	2	1	3	1
289550	0.26	No	27	Yes	Oil	3	1944	64	2	1	4	1
162000	0.62	No	7	No	Oil	3	1880	64	2	0	3	0
207000	0.32	No	19	No	Oil	3	1297	40	2	0	3	1
192000	0.52	No	18	No	Oil	3	2025	63	2	1	4	1
201745	0.5	No	0	No	Oil	3	2072	52	2	1	4	1
192000	0.42	No	35	No	Oil	3	2056	64	1	1	4	1
253605	0.37	No	0	No	Oil	3	2030	63	2	1	4	1
230000	0.22	No	18	Yes	Oil	3	1532	64	2	1	3	1
95300	0.94	No	40	Yes	Electric	3	1068	50	1	0	3	0
51000	0.19	No	103	No	Oil	3	1328	44	1	0	4	0
354900	0.72	No	6	Yes	Oil	3	1878	62	2	0	3	1
271000	0.48	No	15	No	Oil	3	2188	64	2	1	4	1
170784	0.37	No	1	No	Oil	3	1791	57	2	1	3	0
353845	0.26	No	1	Yes	Oil	3	2297	64	2	1	3	1
325046	0.5	No	1	No	Oil	3	2712	40	2	1	4	0
305555	0.38	No	0	Yes	Oil	3	2793	57	2	1	4	1
240000	2.26	No	26	No	Electric	3	2400	62	2	0	3	0
317172	0.66	No	0	Yes	Oil	3	3212	63	2	1	5	1
350000	0.09	No	1	Yes	Oil	3	1980	57	2	1	3	1
191500	0.88	No	33	No	Oil	3	2576	64	2	1	4	1
130000	0.07	No	17	Yes	Oil	3	1480	40	1	1	3	1
93625	0.19	No	0	No	Oil	3	840	51	1	1	2	0
135000	0.34	No	9	No	Oil	3	1004	36	1	0	3	0
130000	0.04	No	143	No	Oil	2	1166	64	1	1	3	1
231475	0.56	No	0	No	Oil	3	2673	64	2	1	4	1
392320	0.27	No	1	Yes	Oil	3	2604	61	2	1	4	1
265000	0.42	No	28	No	Oil	3	2310	61	2	1	4	1
187000	0.46	No	3	No	Oil	3	1858	52	2	1	3	1
329900	1	No	6	Yes	Oil	3	3356	71	3	1	5	1
229000	0.64	No	11	No	Oil	3	1900	57	1	1	3	1
76320	0.04	No	65	No	Gas	3	864	64	1	0	1	0
113300	0.2	No	69	No	Oil	3	1163	38	1	0	2	0
119480	0.09	No	19	No	Gas	3	1480	63	1	1	3	0
319900	1.03	No	6	No	Oil	3	2572	63	2	1	4	1
135000	0.16	No	18	No	Gas	3	912	54	1	1	2	0
267500	0.24	No	14	No	Oil	3	1822	40	2	0	3	0
78000	0.33	No	77	No	Electric	2	668	60	1	0	1	0
319900	0.44	No	1	Yes	Oil	3	1713	36	2	0	3	1
156500	0.16	No	22	No	Gas	3	912	51	1	1	2	1
135000	0.06	No	25	Yes	Oil	3	1280	63	1	1	2	1
418900	0.52	No	0	No	Oil	3	2718	61	2	1	4	1
105000	0.36	No	20	No	Gas	3	1144	63	1	1	2	0
224000	0.52	No	40	No	Oil	3	3074	64	2	1	7	1
169900	0.06	No	27	Yes	Oil	3	1452	64	1	1	3	1
153000	0.21	No	41	No	Oil	3	1064	35	1	1	3	0
180250	0.43	No	33	No	Oil	3	1612	64	1	1	3	0
115000	0.13	No	20	No	Gas	3	945	63	1	0	2	0
725000	0.21	No	3	Yes	Oil	3	2586	62	3	0	4	1
272000	0.3	No	8	No	Oil	3	2152	40	2	1	3	0
162000	0.31	No	18	No	Gas	3	1508	54	2	0	3	0
161000	0.59	No	37	No	Oil	3	1056	36	1	0	3	0
400000	7.82	No	43	Yes	Oil	3	1480	62	2	0	3	1
390900	0.41	No	1	No	Oil	3	3020	64	2	1	4	1
285558	0.21	No	0	No	Oil	4	2879	54	3	0	4	0
336000	0.27	No	6	Yes	Oil	3	1792	57	2	1	3	0
199000	0.03	No	8	Yes	Oil	3	1480	57	2	1	2	0
217905	0.25	No	0	No	Oil	3	1910	64	2	0	3	1
201900	0.27	No	11	No	Oil	3	1984	54	2	1	2	0
76320	0.15	No	68	No	Oil	3	1380	44	1	0	3	1
230000	0.52	No	7	No	Oil	3	1352	64	1	1	3	0
175000	0.29	No	28	Yes	Oil	3	1684	64	2	1	3	1
630000	0.18	No	3	No	Oil	3	3290	64	3	1	4	2
112500	0.17	No	38	No	Oil	3	925	62	1	0	3	0
311000	0.54	No	10	Yes	Oil	3	2120	40	2	1	3	0
159900	0.4	No	55	No	Gas	3	1284	36	1	0	4	0
363775	0.35	No	0	Yes	Oil	3	2450	57	2	1	3	0
173040	0.33	No	15	Yes	Oil	3	1508	52	2	0	3	1
119000	0.75	No	21	No	Oil	2	1055	57	1	0	2	0
138000	0.29	No	30	No	Oil	3	1279	57	1	0	3	1
130000	0.21	No	116	No	Oil	3	1536	35	1	0	3	0
85000	0.13	No	90	No	Oil	3	1560	44	2	0	3	0
88000	0.33	No	49	No	Oil	3	720	44	1	0	3	0
304200	0.47	No	39	Yes	Oil	3	1900	62	2	1	4	1
154900	0.48	No	33	No	Oil	3	1838	64	1	1	4	1
108000	0.16	No	19	No	Gas	3	1032	52	1	1	2	0
161000	0.09	No	25	Yes	Oil	3	1276	54	2	0	2	1
211150	1.5	No	14	No	Oil	3	1736	40	1	1	3	1
181280	0.39	No	26	No	Oil	3	2248	40	1	0	4	0
93775	0.13	No	0	No	Oil	3	840	36	1	0	2	0
371000	0.26	No	2	Yes	Oil	3	2741	64	2	1	4	1
178500	0.46	No	39	Yes	Oil	4	1698	71	3	0	2	1
128000	1	No	50	No	Electric	3	792	40	1	0	2	0
203000	0.04	No	19	Yes	Oil	3	1216	62	2	0	2	1
325000	0.51	No	7	No	Oil	3	2476	64	2	1	3	1
146900	0.65	No	38	No	Oil	3	2867	64	3	1	5	1
268500	0.53	No	34	No	Gas	3	1900	64	2	1	4	1
375000	0.03	No	19	Yes	Oil	3	1900	62	2	1	2	1
294500	0.97	No	1	No	Oil	4	3271	63	2	1	4	1
187000	0.21	No	27	No	Gas	3	1764	21	2	0	3	1
122000	0.12	No	31	Yes	Oil	3	1431	63	1	1	3	0
145000	0.16	No	16	Yes	Oil	3	1180	64	1	1	2	1
491556	0.48	No	1	Yes	Oil	4	3118	62	3	1	5	1
270000	0.09	Yes	53	No	Electric	3	1744	71	1	0	3	1
195000	0.98	No	6	No	Oil	3	1536	63	2	0	3	0
220000	0.5	No	30	No	Oil	3	2012	63	2	1	4	1
120000	0.18	No	16	Yes	Gas	3	1144	64	1	0	2	1
290000	0.61	No	2	Yes	Oil	4	2056	57	2	1	4	1
130000	1.24	No	51	No	Electric	3	1220	71	1	0	2	2
194575	0.18	No	1	Yes	Oil	3	1785	54	2	1	3	0
27500	0.54	No	16	No	Propane	3	1530	22	2	0	3	0
258000	0.49	No	5	No	Oil	3	2541	64	2	1	4	1
97000	0.21	No	81	No	Oil	3	1594	38	1	1	4	0
157900	0.06	No	14	No	Gas	3	1290	57	1	1	2	0
375000	2.79	No	175	No	Electric	4	2588	62	2	1	3	1
155000	1	No	7	No	Electric	3	2128	47	2	0	4	0
339900	0.87	No	18	Yes	Oil	3	3028	64	2	1	3	1
245000	0.68	No	14	No	Oil	3	2134	60	2	1	4	1
110000	0.16	No	17	No	Gas	3	1480	64	1	1	3	0
193900	0.23	No	0	Yes	Oil	3	1652	64	2	0	3	0
120000	0.29	No	19	No	Gas	3	1228	64	1	1	4	0
194750	0.47	No	37	No	Oil	3	1805	63	1	1	3	1
342365	1	No	0	No	Oil	3	2574	63	2	1	4	1
235000	1.24	No	38	Yes	Oil	3	2256	71	2	1	4	1
177400	0.48	No	0	No	Oil	3	1590	57	2	1	3	1
214500	0.47	No	34	Yes	Electric	3	1860	71	2	1	3	2
143700	0.84	No	29	No	Electric	3	1284	57	1	0	3	1
208000	0.47	No	53	No	Electric	3	1548	52	1	1	3	0
244500	0.55	No	38	No	Oil	3	2498	63	2	1	4	1
501500	0.23	No	49	Yes	Oil	3	2058	57	1	1	2	1
208000	0.41	No	33	Yes	Oil	3	1924	64	1	1	4	1
169000	0.36	No	18	No	Oil	3	1512	64	2	1	3	1
146000	0.11	No	19	Yes	Oil	3	1479	63	1	1	3	1
274900	0.72	No	18	Yes	Oil	3	1744	63	2	1	3	1
140000	0.15	No	19	No	Gas	3	1628	54	2	1	3	0
325000	0.45	No	22	No	Oil	3	2558	64	2	1	4	1
196000	1	No	5	No	Electric	3	2280	57	3	0	3	1
225000	0.24	No	18	Yes	Oil	3	1596	64	2	0	3	1
197141	0.16	No	0	Yes	Oil	3	1785	52	2	0	3	0
104000	0.1	No	17	Yes	Gas	3	924	64	1	0	2	1
125000	0.05	No	18	No	Oil	3	1568	57	1	1	3	0
274530	0.1	No	0	Yes	Oil	3	2545	63	2	1	4	1
205500	0.31	No	17	No	Gas	3	1486	54	1	1	3	1
138000	0.83	No	16	Yes	Oil	3	1851	44	2	1	3	1
266000	3.96	No	0	No	Electric	4	2240	43	2	1	4	0
122600	0.28	No	76	No	Oil	3	1456	38	1	0	3	0
192500	0.18	No	31	Yes	Oil	3	1600	64	1	1	3	0
296933	0.46	No	0	Yes	Oil	4	2912	64	2	1	4	1
212308	0.34	No	0	Yes	Oil	3	1820	64	2	0	3	1
240000	0.28	No	33	No	Oil	3	1979	61	2	0	4	1
128500	0.34	No	36	No	Oil	3	1368	52	1	0	3	0
126000	0.4	No	24	No	Gas	3	1344	64	1	1	3	1
328000	0.65	No	7	Yes	Oil	3	2164	61	2	1	3	1
124740	0.09	No	49	No	Oil	3	1332	33	2	0	2	0
189900	0.38	No	19	No	Gas	3	1632	63	2	1	3	1
221825	0.32	No	0	No	Oil	3	1977	63	2	1	3	1
165000	0.76	No	27	No	Gas	2	2016	27	1	1	2	1
260000	0.37	No	9	No	Oil	3	2088	36	2	1	3	0
190000	0.49	No	35	Yes	Oil	3	1850	64	2	1	4	1
299900	0.12	No	95	No	Electric	3	1176	62	1	1	2	0
280000	0.4	No	18	Yes	Oil	3	2056	60	2	1	3	1
325000	0.5	No	4	Yes	Oil	3	2253	40	2	1	4	1
585000	1	No	2	Yes	Oil	4	3284	57	2	1	4	1
397900	0.78	No	1	Yes	Oil	3	2842	61	2	1	4	1
188000	0.35	No	40	No	Oil	4	1837	64	1	1	3	1
259000	0.91	No	28	No	Electric	2	832	57	1	0	2	0
120000	0.26	No	15	Yes	Oil	3	1480	54	1	1	3	0
293500	0.15	No	75	No	Oil	3	1632	57	1	0	3	1
254208	0.29	No	0	No	Oil	3	2577	64	2	1	4	1
179000	0.55	No	8	Yes	Oil	3	1866	57	2	1	3	1
251000	0.33	No	30	Yes	Oil	3	1748	61	2	1	3	1
182500	0.75	No	38	No	Oil	3	1664	64	1	1	2	1
193000	0.46	No	1	Yes	Oil	3	2175	64	2	1	4	1
227000	1.8	No	201	No	Electric	4	1876	52	2	1	3	0
378500	0.53	No	20	Yes	Oil	3	2812	64	2	1	4	1
133000	1.29	No	14	Yes	Gas	3	1676	44	2	0	2	1
225000	0.95	No	15	No	Gas	3	1652	62	2	0	3	0
155000	1.59	No	131	No	Electric	2	1544	62	1	0	3	0
362000	3	No	6	Yes	Electric	3	1785	50	2	1	3	1
203070	0.24	No	0	Yes	Oil	3	1730	64	2	1	3	1
250000	0.62	No	14	Yes	Oil	3	1529	64	2	0	2	1
190000	4.04	No	1	No	Oil	3	1480	27	3	0	3	1
224695	0.24	No	0	Yes	Oil	3	1914	64	2	0	2	1
222500	0.69	No	15	No	Oil	3	1564	57	2	0	3	1
389000	0.5	No	6	No	Oil	3	2244	62	2	1	4	1
128000	0.17	No	21	No	Gas	3	908	40	1	0	2	0
210000	0.51	No	11	No	Oil	3	1320	63	2	0	3	0
250000	0.46	No	2	Yes	Oil	3	2392	57	2	1	4	1
139900	0.45	No	57	No	Electric	4	1509	71	1	0	3	0
137000	0.61	No	17	No	Gas	3	1404	38	2	0	3	1
150000	0.38	No	34	No	Oil	3	1668	62	1	1	4	1
140000	0.96	No	33	Yes	Electric	3	2912	51	2	0	3	1
320000	1.06	No	10	Yes	Oil	3	2282	77	2	1	3	1
325000	0.74	No	4	No	Oil	3	1920	62	2	1	3	1
247000	0.5	No	41	No	Oil	3	2812	64	2	1	4	1
161000	0.18	No	17	No	Gas	3	1460	39	2	0	2	0
226000	0.97	No	30	No	Propane	3	1426	50	1	0	3	0
196000	0.91	No	28	No	Oil	3	1478	50	1	0	3	0
205650	0.38	No	38	Yes	Oil	3	2051	63	2	1	3	1
98300	0.06	No	22	No	Oil	4	728	54	1	0	2	0
200000	4.92	No	15	No	Electric	3	1440	30	1	0	3	0
335000	2	No	20	Yes	Gas	3	3319	60	2	1	3	0
190000	0.29	No	1	No	Oil	3	1736	57	2	1	3	0
173000	0.12	No	125	No	Oil	3	1544	62	2	0	4	0
410000	0.48	No	30	No	Oil	3	2076	62	2	1	4	2
250000	0.4	No	25	Yes	Gas	3	2243	40	2	1	3	1
108000	0.22	No	28	No	Gas	3	960	57	1	0	2	0
191000	0.78	No	16	No	Electric	3	1684	36	1	1	4	0
292140	0.36	No	1	Yes	Oil	4	2061	52	2	0	4	1
230000	0.74	No	28	Yes	Oil	3	1056	52	1	1	3	1
215000	2	No	16	Yes	Electric	3	1900	41	2	0	3	1
202900	0.42	No	11	Yes	Oil	3	1696	35	2	0	3	0
415000	0.11	No	2	Yes	Oil	3	2242	62	2	1	3	0
372775	0.47	No	0	Yes	Oil	3	2673	57	2	1	4	1
190000	0.46	No	29	No	Oil	4	1308	35	1	0	3	0
234900	0.64	No	7	No	Oil	3	1860	64	2	1	3	1
111300	0.59	No	86	No	Oil	1	1959	51	1	0	3	0
260000	0.35	No	11	Yes	Oil	3	1971	63	2	1	4	0
221795	0.61	No	1	Yes	Oil	3	2200	41	2	1	4	1
237500	1	No	15	No	Electric	3	1776	62	1	1	3	1
186500	0.36	No	14	No	Oil	3	2108	64	2	1	3	0
202600	0.55	No	27	No	Oil	3	1939	63	1	0	4	1
169000	0.76	No	18	No	Gas	3	1733	54	1	1	3	0
200874	1	No	130	No	Oil	3	1322	62	1	0	3	0
239400	0.47	No	31	No	Oil	3	2696	63	2	1	4	1
318000	0.6	No	4	Yes	Oil	3	2064	61	2	1	4	1
266928	0.47	No	1	No	Oil	3	2668	63	2	1	4	1
270000	0.61	No	2	Yes	Oil	3	1352	50	2	0	2	1
264900	0.5	No	40	No	Oil	3	2652	63	3	1	5	1
148001	0.09	No	19	Yes	Gas	3	1276	54	2	0	3	1
247000	0.34	No	4	Yes	Oil	3	2251	52	2	1	4	1
140500	0.16	No	17	No	Gas	3	1592	54	1	1	3	0
171000	3.16	No	15	No	Gas	3	1008	52	1	0	2	0
300000	0.92	No	19	Yes	Electric	3	2144	36	2	1	3	1
690000	0.17	No	85	Yes	Oil	3	1764	62	2	1	4	1
177500	0.31	No	39	Yes	Oil	3	1096	36	1	1	3	0
366703	0.15	No	0	Yes	Gas	4	2117	57	2	1	3	1
215000	0.19	No	3	Yes	Oil	3	1666	33	2	1	3	0
215900	0.37	No	11	No	Oil	3	1680	35	1	1	3	0
277900	0.34	No	1	Yes	Oil	3	1431	50	2	0	3	1
205275	0.67	No	0	No	Oil	3	2486	52	2	1	4	1
134500	0.49	No	36	No	Gas	3	1040	64	1	0	3	0
151500	0.51	No	38	No	Oil	3	1660	57	1	1	4	0
420000	0.4	No	20	Yes	Oil	3	2894	75	3	1	4	1
206170	0.25	No	0	No	Oil	4	2374	52	2	1	4	1
159900	0.27	No	12	Yes	Oil	3	1597	41	2	1	4	1
239900	0.26	No	0	Yes	Oil	3	1774	63	2	0	3	1
530000	1.47	No	2	Yes	Oil	3	4859	63	3	1	5	2
89000	0.24	No	55	No	Oil	3	2039	40	1	0	3	0
286000	0.47	No	7	No	Oil	3	2004	63	2	1	4	1
204900	0.03	No	10	Yes	Oil	3	1616	64	2	0	3	0
160000	0.33	No	16	No	Oil	3	1365	52	2	0	3	1
319900	0.46	No	1	Yes	Oil	3	2460	61	2	1	4	1
153000	0.25	No	10	No	Oil	3	1542	54	2	1	3	0
155000	0.38	No	1	Yes	Oil	3	1386	44	2	0	4	0
388750	3.22	No	1	Yes	Oil	3	3642	54	2	1	4	1
157500	0.51	No	7	No	Oil	3	1328	52	1	1	3	0
263143	0.49	No	1	Yes	Oil	3	2460	63	2	1	4	1
49000	0.21	No	83	No	Electric	3	1548	22	1	1	3	0
227000	0.42	No	27	Yes	Oil	3	2620	63	2	1	5	1
182000	0.29	No	21	No	Oil	3	1932	63	1	1	3	0
282000	0.47	No	17	Yes	Oil	3	2086	64	2	1	4	1
215000	0.3	No	32	No	Oil	3	1778	64	1	1	3	1
279900	0.07	No	14	Yes	Oil	3	1744	57	2	1	3	1
249900	0.23	No	11	No	Oil	3	1956	40	2	0	3	1
176500	0.37	No	55	Yes	Electric	3	1380	36	1	1	3	1
183340	0.17	No	18	No	Gas	3	945	61	1	0	2	0
48500	0.34	No	105	No	Electric	2	1597	21	1	1	3	0
122055	0.15	No	17	No	Gas	3	1385	54	1	1	2	0
135900	0.19	No	0	No	Oil	4	1498	64	1	1	2	1
184000	0.45	No	35	No	Oil	3	1791	40	1	0	4	0
210000	4.99	No	12	No	Electric	3	2166	52	1	1	3	0
275000	1.03	No	43	No	Electric	3	1504	57	1	0	2	0
207000	0.27	No	27	No	Electric	3	1744	50	1	0	3	0
262420	0.36	No	21	Yes	Oil	3	1652	61	2	0	3	0
349900	0.44	No	0	No	Oil	4	2886	63	3	0	4	1
227000	0.47	No	10	No	Oil	3	1815	63	1	1	3	1
320150	1.02	No	13	Yes	Oil	3	1598	57	2	0	3	0
149300	0.16	No	20	No	Gas	3	912	51	1	1	2	0
260610	0.29	No	0	No	Oil	3	2530	63	2	1	3	1
880000	1	No	66	No	Electric	4	5106	62	4	1	4	2
309727	0.61	No	0	Yes	Oil	3	2780	57	2	1	5	1
150000	0.46	No	31	No	Gas	2	1200	57	1	0	3	0
216900	0.42	No	1	Yes	Oil	3	2620	63	3	0	3	1
146000	0.93	No	33	No	Gas	3	1563	64	1	1	3	0
313315	0.44	No	1	Yes	Oil	3	2510	40	2	1	4	1
260000	0.17	No	122	No	Oil	3	866	62	1	0	3	0
103500	0.38	No	11	No	Oil	3	1056	44	1	0	3	0
150000	0.43	No	17	No	Gas	3	1254	38	2	1	3	1
280000	0.5	No	7	No	Oil	3	2408	64	2	1	3	0
396146	0.36	No	1	Yes	Oil	3	3045	61	2	1	4	1
173000	0.33	No	32	Yes	Oil	3	1640	57	1	1	4	0
65000	0.16	No	24	No	Gas	3	768	27	1	0	2	0
339900	0.78	No	6	No	Oil	3	2445	60	2	1	4	1
450000	1.17	No	17	Yes	Gas	3	3388	63	2	1	3	1
137000	0.33	No	9	No	Electric	3	1100	50	1	0	3	0
55000	0.49	No	75	No	Electric	3	910	40	1	0	3	0
170000	0.02	No	17	Yes	Gas	3	1348	64	2	0	3	0
375000	0.57	No	6	Yes	Oil	3	3056	40	2	1	5	1
243000	0.73	No	10	No	Oil	3	1846	36	2	0	3	1
135500	0.34	No	46	No	Electric	3	999	50	1	0	3	0
305035	0.15	No	1	Yes	Oil	3	1680	57	2	1	2	1
120000	0.95	No	24	No	Oil	3	960	38	1	0	2	0
225000	0.08	No	105	No	Wood	3	1359	62	1	1	3	0
180000	0.65	No	48	No	Oil	3	2140	38	2	1	5	0
350000	0.18	No	94	No	Oil	3	2122	57	2	0	4	0
98500	0.16	No	19	No	Gas	3	912	52	1	1	2	0
289900	0.54	No	10	Yes	Oil	3	2120	40	2	1	3	0
239900	0.53	No	19	Yes	Oil	3	2040	63	2	1	4	1
139000	0.14	No	16	Yes	Gas	3	1343	64	1	1	2	1
172000	0.36	No	33	No	Oil	3	1926	57	2	1	4	1
129750	0.35	No	36	No	Oil	3	1800	52	1	0	4	0
169700	0.5	No	1	Yes	Oil	3	1840	52	2	1	3	0
249000	0.66	No	19	Yes	Oil	3	2217	63	2	1	4	1
299900	0.94	No	33	No	Electric	3	2362	64	3	0	4	0
265000	0.55	No	8	Yes	Oil	3	2276	64	2	1	4	1
124500	0.35	No	33	No	Oil	3	1392	57	2	0	5	0
175000	0.06	No	19	Yes	Oil	3	1326	64	1	1	2	0
88935	0.14	No	0	No	Oil	3	840	51	1	0	2	0
255000	0.56	No	17	Yes	Oil	3	2108	64	3	0	4	1
160000	0.45	No	27	No	Gas	3	1680	45	1	0	4	0
216457	0.25	No	0	Yes	Oil	3	2151	64	2	1	3	0
300000	0.57	No	1	No	Oil	3	2675	64	2	1	4	1
169900	0.23	No	0	No	Oil	3	1666	57	2	1	3	1
169695	0.39	No	0	No	Oil	3	1590	57	2	1	3	1
209000	0.37	No	19	Yes	Oil	3	1910	64	2	1	4	1
159600	0.49	No	40	No	Oil	3	2300	63	2	1	5	0
255900	0.33	No	2	No	Oil	3	1707	33	2	0	3	1
